source_file,test_group,code_family,code_id,code_type,standard,N,K,code_rate,decoder,modulation,ebn0_db,snr_db,frames,error_frames,bit_errors,ber,fer,throughput_mbps,goodput_mbps,fps,avg_frame_latency_ms,tx_throughput_mbps,rx_demod_throughput_mbps,fec_throughput_mbps,tx_latency_ms,rx_demod_latency_ms,fec_latency_ms,notes
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\fer_qpsk_dvbs2_500k_ebn0_0_05_8_20260524_232200\offline_gpu\CCSDS_ldpc_n128_k64_qpsk_cuda-bp-osd_EbN0_0dB.log,history_fer_dvbs2_qpsk,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,qpsk,0.0,0.0,500000.0,500000.0,845807.0,0.1089,1.0,NA,0.0,1438.21,NA,NA,149.9,15.35,NA,0.0512,0.5002,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\fer_qpsk_dvbs2_500k_ebn0_0_05_8_20260524_232200\offline_gpu\CCSDS_ldpc_n128_k64_qpsk_cuda-bp-osd_EbN0_0.5dB.log,history_fer_dvbs2_qpsk,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,qpsk,0.5,0.5,500000.0,500000.0,491718.0,0.06337,1.0,NA,0.0,1455.4,NA,NA,153.93,15.61,NA,0.0499,0.4921,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\fer_qpsk_dvbs2_500k_ebn0_0_05_8_20260524_232200\offline_gpu\CCSDS_ldpc_n128_k64_qpsk_cuda-bp-osd_EbN0_1dB.log,history_fer_dvbs2_qpsk,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,qpsk,1.0,1.0,500000.0,500000.0,229308.0,0.02959,1.0,NA,0.0,1560.02,NA,NA,158.66,17.07,NA,0.0484,0.4498,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\fer_qpsk_dvbs2_500k_ebn0_0_05_8_20260524_232200\offline_gpu\CCSDS_ldpc_n128_k64_qpsk_cuda-bp-osd_EbN0_1.5dB.log,history_fer_dvbs2_qpsk,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,qpsk,1.5,1.5,500000.0,498870.0,82087.0,0.01069,0.9977,NA,0.03,1705.42,NA,NA,157.64,19.38,NA,0.0487,0.3964,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\fer_qpsk_dvbs2_500k_ebn0_0_05_8_20260524_232200\offline_gpu\CCSDS_ldpc_n128_k64_qpsk_cuda-bp-osd_EbN0_2dB.log,history_fer_dvbs2_qpsk,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,qpsk,2.0,2.0,500000.0,406400.0,22889.0,0.002923,0.8128,NA,2.75,1915.68,NA,NA,160.26,23.27,NA,0.0479,0.33,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\fer_qpsk_dvbs2_500k_ebn0_0_05_8_20260524_232200\offline_gpu\CCSDS_ldpc_n128_k64_qpsk_cuda-bp-osd_EbN0_2.5dB.log,history_fer_dvbs2_qpsk,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,qpsk,2.5,2.5,500000.0,149852.0,4667.0,0.0006022,0.2997,NA,10.94,2033.49,NA,NA,159.14,25.65,NA,0.0483,0.2995,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\fer_qpsk_dvbs2_500k_ebn0_0_05_8_20260524_232200\offline_gpu\CCSDS_ldpc_n128_k64_qpsk_cuda-bp-osd_EbN0_3dB.log,history_fer_dvbs2_qpsk,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,qpsk,3.0,3.0,500000.0,28077.0,796.0,9.416e-05,0.05615,NA,15.66,2160.88,NA,NA,161.74,28.52,NA,0.0475,0.2692,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\fer_qpsk_dvbs2_500k_ebn0_0_05_8_20260524_232200\offline_gpu\CCSDS_ldpc_n128_k64_qpsk_cuda-bp-osd_EbN0_3.5dB.log,history_fer_dvbs2_qpsk,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,qpsk,3.5,3.5,500000.0,3740.0,210.0,1.182e-05,0.00748,NA,17.08,2240.59,NA,NA,152.01,30.36,NA,0.0505,0.253,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\fer_qpsk_dvbs2_500k_ebn0_0_05_8_20260524_232200\offline_gpu\CCSDS_ldpc_n128_k64_qpsk_cuda-bp-osd_EbN0_4dB.log,history_fer_dvbs2_qpsk,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,qpsk,4.0,4.0,500000.0,375.0,144.0,1.134e-06,0.00075,NA,16.05,2091.4,NA,NA,139.47,28.07,NA,0.0551,0.2736,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\fer_qpsk_dvbs2_500k_ebn0_0_05_8_20260524_232200\offline_gpu\CCSDS_ldpc_n128_k64_qpsk_cuda-bp-osd_EbN0_4.5dB.log,history_fer_dvbs2_qpsk,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,qpsk,4.5,4.5,500000.0,31.0,127.0,8.984e-08,6.2e-05,NA,16.67,2170.9,NA,NA,130.23,30.31,NA,0.059,0.2534,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\fer_qpsk_dvbs2_500k_ebn0_0_05_8_20260524_232200\offline_gpu\CCSDS_ldpc_n128_k64_qpsk_cuda-bp-osd_EbN0_5dB.log,history_fer_dvbs2_qpsk,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,qpsk,5.0,5.0,500000.0,3.0,18.0,4.687e-09,6e-06,NA,23.82,3101.73,NA,NA,130.09,65.77,NA,0.059,0.1168,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\fer_qpsk_dvbs2_500k_ebn0_0_05_8_20260524_232200\offline_gpu\CCSDS_ldpc_n128_k64_qpsk_cuda-bp-osd_EbN0_5.5dB.log,history_fer_dvbs2_qpsk,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,qpsk,5.5,5.5,500000.0,0.0,0.0,0.0,0.0,NA,27.66,3601.68,NA,NA,117.99,143.42,NA,0.0651,0.0535,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\fer_qpsk_dvbs2_500k_ebn0_0_05_8_20260524_232200\offline_gpu\CCSDS_ldpc_n128_k64_qpsk_cuda-bp-osd_EbN0_6dB.log,history_fer_dvbs2_qpsk,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,qpsk,6.0,6.0,500000.0,0.0,0.0,0.0,0.0,NA,26.53,3454.26,NA,NA,112.5,193.89,NA,0.0683,0.0396,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\fer_qpsk_dvbs2_500k_ebn0_0_05_8_20260524_232200\offline_gpu\CCSDS_ldpc_n128_k64_qpsk_cuda-bp-osd_EbN0_6.5dB.log,history_fer_dvbs2_qpsk,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,qpsk,6.5,6.5,500000.0,0.0,0.0,0.0,0.0,NA,26.34,3429.37,NA,NA,108.21,216.62,NA,0.071,0.0355,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\fer_qpsk_dvbs2_500k_ebn0_0_05_8_20260524_232200\offline_gpu\CCSDS_ldpc_n128_k64_qpsk_cuda-bp-osd_EbN0_7dB.log,history_fer_dvbs2_qpsk,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,qpsk,7.0,7.0,500000.0,0.0,0.0,0.0,0.0,NA,28.29,3683.27,NA,NA,115.53,242.1,NA,0.0665,0.0317,
