source_file,test_group,code_family,code_id,code_type,standard,N,K,code_rate,decoder,modulation,ebn0_db,snr_db,frames,error_frames,bit_errors,ber,fer,throughput_mbps,goodput_mbps,fps,avg_frame_latency_ms,tx_throughput_mbps,rx_demod_throughput_mbps,fec_throughput_mbps,tx_latency_ms,rx_demod_latency_ms,fec_latency_ms,notes
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\throughput_all_ldpc_mcs_ebn0_0_2_16_20260524_161606\offline_gpu\CCSDS_ldpc_n128_k64_bpsk_cuda-bp-osd_EbN0_0dB.log,history_throughput_ccsds_dvbs2,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,bpsk,0.0,-3.01,2000.0,0.0,NA,NA,0.0,NA,9.13,2377.74,NA,NA,87.0,12.25,NA,0.0441,0.3134,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\throughput_all_ldpc_mcs_ebn0_0_2_16_20260524_161606\offline_gpu\CCSDS_ldpc_n128_k64_bpsk_cuda-bp-osd_EbN0_2dB.log,history_throughput_ccsds_dvbs2,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,bpsk,2.0,-1.01,2000.0,0.0,NA,NA,0.0,NA,10.48,2728.93,NA,NA,86.06,14.79,NA,0.0446,0.2597,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\throughput_all_ldpc_mcs_ebn0_0_2_16_20260524_161606\offline_gpu\CCSDS_ldpc_n128_k64_bpsk_cuda-bp-osd_EbN0_4dB.log,history_throughput_ccsds_dvbs2,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,bpsk,4.0,0.99,2000.0,0.0,NA,NA,0.0,NA,13.04,3396.04,NA,NA,87.7,20.26,NA,0.0438,0.1895,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\throughput_all_ldpc_mcs_ebn0_0_2_16_20260524_161606\offline_gpu\CCSDS_ldpc_n128_k64_bpsk_cuda-bp-osd_EbN0_6dB.log,history_throughput_ccsds_dvbs2,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,bpsk,6.0,2.99,2000.0,0.0,NA,NA,0.0,NA,30.81,8024.66,NA,NA,88.25,196.99,NA,0.0435,0.0195,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\throughput_all_ldpc_mcs_ebn0_0_2_16_20260524_161606\offline_gpu\CCSDS_ldpc_n128_k64_bpsk_cuda-bp-osd_EbN0_8dB.log,history_throughput_ccsds_dvbs2,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,bpsk,8.0,4.99,2000.0,0.0,NA,NA,0.0,NA,31.24,8135.85,NA,NA,87.49,278.4,NA,0.0439,0.0138,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\throughput_all_ldpc_mcs_ebn0_0_2_16_20260524_161606\offline_gpu\CCSDS_ldpc_n128_k64_bpsk_cuda-bp-osd_EbN0_10dB.log,history_throughput_ccsds_dvbs2,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,bpsk,10.0,6.99,2000.0,0.0,NA,NA,0.0,NA,31.69,8253.14,NA,NA,86.14,323.83,NA,0.0446,0.0119,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\throughput_all_ldpc_mcs_ebn0_0_2_16_20260524_161606\offline_gpu\CCSDS_ldpc_n128_k64_bpsk_cuda-bp-osd_EbN0_12dB.log,history_throughput_ccsds_dvbs2,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,bpsk,12.0,8.99,2000.0,0.0,NA,NA,0.0,NA,31.13,8106.42,NA,NA,85.39,316.82,NA,0.045,0.0121,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\throughput_all_ldpc_mcs_ebn0_0_2_16_20260524_161606\offline_gpu\CCSDS_ldpc_n128_k64_bpsk_cuda-bp-osd_EbN0_14dB.log,history_throughput_ccsds_dvbs2,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,bpsk,14.0,10.99,2000.0,0.0,NA,NA,0.0,NA,31.06,8088.64,NA,NA,86.91,330.92,NA,0.0442,0.0116,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\throughput_all_ldpc_mcs_ebn0_0_2_16_20260524_161606\offline_gpu\CCSDS_ldpc_n128_k64_bpsk_cuda-bp-osd_EbN0_16dB.log,history_throughput_ccsds_dvbs2,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,bpsk,16.0,12.99,2000.0,0.0,NA,NA,0.0,NA,31.3,8149.76,NA,NA,87.46,359.02,NA,0.0439,0.0107,
E:\Codex\usrp_plt_1\build\uhd_cpp_gpu_pipeline\logs\throughput_all_ldpc_mcs_ebn0_0_2_16_20260524_161606\offline_gpu\CCSDS_ldpc_n128_k64_qpsk_cuda-bp-osd_EbN0_0dB.log,history_throughput_ccsds_dvbs2,CCSDS,CCSDS_ldpc_n128_k64,LDPC,CCSDS,128,64,0.5,CUDA BP-OSD,qpsk,0.0,0.0,2000.0,0.0,NA,NA,0.0,NA,13.08,1702.98,NA,NA,168.8,16.47,NA,0.0455,0.4664,
