"category","run_mode","source_kind","test_name","fec_type","code","code_rate","modulation","decoder_type","ebn0_db","snr_db","avg_snr_db","min_snr_db","frames","ok","err","ber","fer","fps","goodput_mbps","throughput_mbps","avg_frame_latency_ms","fec_latency_ms","rx_demod_latency_ms","fft_ms_per_frame","llr_ms_per_frame","avg_evm","avg_abs_cfo_hz","avg_decode_iter","sync_peak","rx_overflow_count","tx_underflow_count","overflow_zero","evm_gt_0p25","media_complete","media_bytes","source_file"
"usrp_realtime","usrp_realtime","csv_row","usrp_25msps_gain_boundary_summary","unknown","","","","","","","","","10653","10653","0","0","0","177.44","18.91","18.91","","","","","","","","","","","","","","n/a","","build\uhd_cpp_gpu_pipeline\logs\integrated_results_20260527\usrp_25msps_gain_boundary_summary.csv"
"usrp_realtime","usrp_realtime","log_final_summary","sim","unknown","","","","osd","","","","","1600","1600","0","","0","111.65","6.17","6.17","","","","","","","","","","0","0","yes","","yes","985007","build\uhd_cpp\ui_gpu_osd_sim_cache_20260511_132833\sim.log"
"usrp_realtime","usrp_realtime","log_final_summary","rx","unknown","","","","osd","","","","","4465","3885","580","","0.1299","122.96","0.99","0.99","","","","","","","","","","0","0","yes","","yes","","build\uhd_cpp\fixed3_no_ui_bp_osd_8m_sc256_20260511_115325\rx.log"
"usrp_realtime","usrp_realtime","log_final_summary","DVB_S2_short_N16200_rate_5_6_16qam_cuda-bp_full_gpu_pipeline_usrp","DVB-S2 LDPC","DVB_S2_short_N16200_rate_5_6_16qam_cuda-bp_full_gpu_pipeline_usrp.log","5/6","16qam","CUDA BP","","","0","0","10622","10621","1","1.184E-07","9.414E-05","176.94","37.71","37.71","2.02","1.34","","0","0.24","","","","","232","0","no","","unknown_or_no","","build\uhd_cpp_gpu_pipeline\logs\startup_amc_selected_validation_20260528\stream_throughput_dvbs2_r56_16qam\usrp\DVB_S2_short_N16200_rate_5_6_16qam_cuda-bp_full_gpu_pipeline_usrp.log"
"usrp_realtime","usrp_realtime","csv_row","usrp_metrics","DVB-S2 LDPC","DVB_S2_short_N16200_rate_5_6","5/6","16qam","CUDA BP","","","0","","10622","10621","1","","9.414E-05","176.94","37.71","37.71","","","","","","","","","","","","","","n/a","","build\uhd_cpp_gpu_pipeline\logs\startup_amc_selected_validation_20260528\stream_throughput_dvbs2_r56_16qam\usrp_metrics.csv"
"usrp_realtime","usrp_realtime","log_final_summary","DVB_S2_short_N16200_rate_5_6_16qam_cuda-bp_full_gpu_pipeline_usrp","DVB-S2 LDPC","DVB_S2_short_N16200_rate_5_6_16qam_cuda-bp_full_gpu_pipeline_usrp.log","5/6","16qam","CUDA BP","","","0","0","845","845","0","0","0","168.56","35.92","35.92","1.81","1.18","","0","0.18","","","","","16","0","no","","unknown_or_no","","build\uhd_cpp_gpu_pipeline\logs\startup_amc_calibration_formal_20260528\usrp\usrp\DVB_S2_short_N16200_rate_5_6_16qam_cuda-bp_full_gpu_pipeline_usrp.log"
"usrp_realtime","usrp_realtime","csv_row","full_gpu_passing_profiles","DVB-S2 LDPC","DVB_S2_short_N16200_rate_5_6","5/6","16qam","","","","","","845","","0","","0","","35.92","35.92","","","","","","","","","","","","","","n/a","","build\uhd_cpp_gpu_pipeline\logs\startup_amc_calibration_formal_20260528\usrp\full_gpu_passing_profiles.csv"
"usrp_realtime","usrp_realtime","csv_row","usrp_metrics","DVB-S2 LDPC","DVB_S2_short_N16200_rate_5_6","5/6","16qam","CUDA BP","","","0","","845","845","0","","0","168.56","35.92","35.92","","","","","","","","","","","","","","n/a","","build\uhd_cpp_gpu_pipeline\logs\startup_amc_calibration_formal_20260528\usrp\usrp_metrics.csv"
"usrp_realtime","usrp_realtime","log_final_summary","qam16_manual_25M_sym32","unknown","","","16qam","","","","0","0","13254","13176","78","0.0001877","0.005885","662.68","24.29","24.29","","","","","","","","","","0","0","yes","","unknown_or_no","","build\uhd_cpp_gpu_pipeline\logs\Test_before_2026_05_24_16_15\qam16_manual_25M_sym32.log"
"usrp_realtime","usrp_realtime","csv_row","usrp_metrics","DVB-S2 LDPC","DVB_S2_short_N16200_rate_1_2","1/2","16qam","CUDA BP","","","0","","821","821","0","","0","163.15","18.8","18.8","","","","","","","","","","","","","","n/a","","build\uhd_cpp_gpu_pipeline\logs\startup_amc_calibration_formal_20260528\usrp\usrp_metrics.csv"
