"run_index","run_id","mode","samples","nominal_snr_db","snr_mean_db","snr_min_db","snr_max_db","snr_std_db","channel_gain_mean_db","channel_gain_min_db","channel_gain_max_db","channel_gain_std_db","source_snr","source_gain"
"1","ui_offline_gpu_20260531_193202","offline_gpu_predicted_power","181",,,,,,"-3.3519390220994456","-15.404493","3.209366","5.913469908238546","","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_193202\predicted_relative_power_trace_db.csv"
"2","ui_offline_gpu_20260531_194833","offline_gpu_predicted_power","22",,,,,,"0.8569606363636363","-1.040243","2.682329","0.9232730368524178","","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_194833\predicted_relative_power_trace_db.csv"
"3","ui_offline_gpu_20260531_194907","offline_gpu_predicted_power","74",,,,,,"-7.1339950270270265","-23.603724","2.620896","10.174076775288485","","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_194907\predicted_relative_power_trace_db.csv"
"4","ui_offline_gpu_20260531_194943","offline_gpu_predicted_power","126",,,,,,"-12.946494888888893","-24","2.620896","10.4610958031429","","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_194943\predicted_relative_power_trace_db.csv"
"5","ui_offline_gpu_20260531_203340","offline_gpu_simulated_channel","900","24","9.457291412222222","4","16.987339","4.634610758161547","-14.542708587777788","-20","-7.012661","4.6346107581615525","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_203340\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_203340\simulated_channel_gain_trace_db.csv"
"6","ui_offline_gpu_20260531_203353","offline_gpu_simulated_channel","1800","24","11.444650803333321","4","19.996715","4.927820830221741","-12.555349196666679","-20","-4.003285","4.927820830221741","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_203353\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_203353\simulated_channel_gain_trace_db.csv"
"7","ui_offline_gpu_20260531_203508","offline_gpu_simulated_channel","1800","24","11.40489387222222","4","19.974077","4.901276725742162","-12.595106127777779","-20","-4.025923","4.901276725742162","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_203508\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_203508\simulated_channel_gain_trace_db.csv"
"8","ui_offline_gpu_20260531_230230","offline_gpu_simulated_channel","900","24","9.551161342222219","4","16.990369","4.661177574104257","-14.448838657777777","-20","-7.009631","4.661177574104254","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_230230\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_230230\simulated_channel_gain_trace_db.csv"
"9","ui_offline_gpu_20260531_230245","offline_gpu_simulated_channel","900","24","9.56880004666667","4","16.981689","4.764778778248267","-14.431199953333335","-20","-7.018311","4.764778778248269","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_230245\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_230245\simulated_channel_gain_trace_db.csv"
"10","ui_offline_gpu_20260531_230255","offline_gpu_simulated_channel","900","24","9.54013715777777","4","16.982389","4.676535996524561","-14.459862842222224","-20","-7.017611","4.676535996524559","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_230255\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_230255\simulated_channel_gain_trace_db.csv"
"11","ui_offline_gpu_20260531_230324","offline_gpu_simulated_channel","1800","24","11.39893508055555","4","19.989783","4.9262210806532645","-12.601064919444436","-20","-4.010217","4.926221080653259","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_230324\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_230324\simulated_channel_gain_trace_db.csv"
"12","ui_offline_gpu_20260531_231140","offline_gpu_simulated_channel","6000","24","12.904253475500008","4","19.999837","4.13452277252701","-11.095746524499956","-20","-4.000163","4.134522772527008","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_231140\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_231140\simulated_channel_gain_trace_db.csv"
"13","ui_offline_gpu_20260531_231153","offline_gpu_simulated_channel","6000","24","12.907872569166653","4","19.996626","4.129848700470196","-11.092127430833346","-20","-4.003374","4.129848700470195","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_231153\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_231153\simulated_channel_gain_trace_db.csv"
"14","ui_offline_gpu_20260531_231213","offline_gpu_simulated_channel","6000","24","12.908275833666611","4","19.994517","4.148347033221354","-11.091724166333382","-20","-4.005483","4.148347033221354","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_231213\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_231213\simulated_channel_gain_trace_db.csv"
"15","ui_offline_gpu_20260531_231248","offline_gpu_simulated_channel","6000","24","12.888196674333322","4","19.999538","4.134180238815955","-11.111803325666644","-20","-4.000462","4.134180238815954","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_231248\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_231248\simulated_channel_gain_trace_db.csv"
"16","ui_offline_gpu_20260531_232044","offline_gpu_simulated_channel","6000","24","12.882703941666609","4","19.997351","4.114964474515458","-11.117296058333375","-20","-4.002649","4.114964474515468","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_232044\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_232044\simulated_channel_gain_trace_db.csv"
"17","ui_offline_gpu_20260531_232701","offline_gpu_simulated_channel","6000","24","12.902359632166664","4","19.998769","4.132593222276997","-11.097640367833298","-20","-4.001231","4.132593222276998","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_232701\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_232701\simulated_channel_gain_trace_db.csv"
"18","ui_offline_gpu_20260531_232710","offline_gpu_simulated_channel","6000","24","12.901510341000025","4","19.999987","4.143604474315941","-11.098489658999963","-20","-4.000013","4.143604474315939","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_232710\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_232710\simulated_channel_gain_trace_db.csv"
"19","ui_offline_gpu_20260531_234255","offline_gpu_simulated_channel","6000","24","12.90595400883334","4","19.998636","4.110168758026715","-11.094045991166633","-20","-4.001364","4.110168758026712","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_234255\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_234255\simulated_channel_gain_trace_db.csv"
"20","ui_offline_gpu_20260531_234308","offline_gpu_simulated_channel","6000","24","12.904738575333344","4","19.992674","4.135561880162974","-11.095261424666663","-20","-4.007326","4.135561880162973","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_234308\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_234308\simulated_channel_gain_trace_db.csv"
"21","ui_offline_gpu_20260531_234436","offline_gpu_simulated_channel","6000","24","12.94011670199996","4","19.996165","4.130201004004691","-11.05988329800002","-20","-4.003835","4.130201004004694","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_234436\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_234436\simulated_channel_gain_trace_db.csv"
"22","ui_offline_gpu_20260531_234527","offline_gpu_simulated_channel","6000","24","12.92450139949999","4","19.998175","4.128240553529514","-11.075498600500019","-20","-4.001825","4.128240553529515","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_234527\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_234527\simulated_channel_gain_trace_db.csv"
"23","ui_offline_gpu_20260531_234737","offline_gpu_simulated_channel","6000","24","12.89915168766667","4","19.992645","4.097856169027247","-11.10084831233334","-20","-4.007355","4.097856169027246","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_234737\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_234737\simulated_channel_gain_trace_db.csv"
"24","ui_offline_gpu_20260531_235218","offline_gpu_simulated_channel","6000","24","12.90238903633331","4","19.989857","4.128925951323748","-11.097610963666671","-20","-4.010143","4.128925951323758","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235218\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235218\simulated_channel_gain_trace_db.csv"
"25","ui_offline_gpu_20260531_235233","offline_gpu_simulated_channel","6000","24","12.91150224516662","4","19.999879","4.144850898122081","-11.088497754833343","-20","-4.000121","4.144850898122075","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235233\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235233\simulated_channel_gain_trace_db.csv"
"26","ui_offline_gpu_20260531_235258","offline_gpu_simulated_channel","6000","24","12.89416975916664","4","19.998898","4.154609482157145","-11.105830240833345","-20","-4.001102","4.1546094821571495","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235258\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235258\simulated_channel_gain_trace_db.csv"
"27","ui_offline_gpu_20260531_235332","offline_gpu_simulated_channel","6000","24","12.937911337000001","4","19.99392","4.116262200729768","-11.062088663000003","-20","-4.00608","4.116262200729769","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235332\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235332\simulated_channel_gain_trace_db.csv"
"28","ui_offline_gpu_20260531_235520","offline_gpu_simulated_channel","6000","24","12.89575298800001","4","19.998703","4.127022847289875","-11.104247012000007","-20","-4.001297","4.127022847289874","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235520\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235520\simulated_channel_gain_trace_db.csv"
"29","ui_offline_gpu_20260531_235645","offline_gpu_simulated_channel","6000","24","12.909057836833373","4","19.994945","4.122058235608964","-11.090942163166641","-20","-4.005055","4.122058235608963","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235645\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235645\simulated_channel_gain_trace_db.csv"
"30","ui_offline_gpu_20260531_235653","offline_gpu_simulated_channel","6000","24","12.924196769666668","4","19.99608","4.11130534875335","-11.075803230333378","-20","-4.00392","4.111305348753349","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235653\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235653\simulated_channel_gain_trace_db.csv"
"31","ui_offline_gpu_20260531_235753","offline_gpu_simulated_channel","6000","24","12.919636874000043","4","19.999658","4.131320208399302","-11.080363126000009","-20","-4.000342","4.131320208399308","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235753\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235753\simulated_channel_gain_trace_db.csv"
"32","ui_offline_gpu_20260601_000621","offline_gpu_simulated_channel","6000","24","12.920389550166648","4","19.998899","4.122119890571017","-11.07961044983332","-20","-4.001101","4.122119890571032","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_000621\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_000621\simulated_channel_gain_trace_db.csv"
